seq,text,label
149,@AppleSupport Any tips to speed up the update? Traveling 🚫 have 4 hrs. Requiring WiFi when some LTE speeds are faster still makes me 🤷🏻‍♀️ https://t.co/9nDbFKPyzn,technical
150,@AmazonHelp for same pin code it shouldn't change in matter of mins.before placing order it showed 3-4 days n post payment a week! @115850 #ecommerce,payment
151,@SW_Help Why no new trains on Weymouth to Waterloo? At least refurbish some pls.  Don't refer me to the website...Answer me,other
152,@TMobileHelp Dang so no free Netflix 😂,other
153,@LondonMidland Thank you 😊,other
154,"Few things make me happier than calling customer service and getting someone who's helpful, knowledgeable and friendly.",technical
155,"Dear @GloCare @117627  you need to make me your ambassador, I talked to two persons about how good your network is and they bought glo.",other
156,"@Uber_Support 
I have added a payment method and still i can't requrst any ride as below snapshot, please your support https://t.co/K7y04cK4Tz",payment
157,@XboxSupport @161810 It’s ok Xbox Best Buy helped me,other
158,@SpotifyCares Pixel XL https://t.co/5X09IqH8z7,other
159,Starting to wonder why I’m paying £80 a year for @115830 next day delivery when my items never seem to come next day 😡,delivery
160,"@115858 @AppleSupport  Is this green pixel supposed to be on my brand new iPhone X? Also, why can’t I just get a simple replacement phone at your stores? Why do I have to pay another grand to get a replacement or pay for “repair”?! https://t.co/QVEzzAx8eC",technical
161,mcnuggets yayy,other
162,@TacoBellTeam So....?,other
163,@AmazonHelp Ansiosa! 👏🏻👏🏻😆,other
164,@O2 Terrible! Just glad I didn't spend any money as it seems neither of you are taking any responsibility!,payment
165,@UPSHelp France,other
166,"@British_Airways This does not address my question: why don't you allow guitars though they fit in overhead compartments? In addition, your rules for violins &amp; violas are self-contradictory (you say you will ""make an effort"",but then claim instr. &gt;56cm will be checked in"") https://t.co/NSAJI3UHXl",other
167,"@115850 this is probably the first, but I've received a product which belongs to someone else! And I suppose my order is sent elsewhere!!",other
168,@hulu_support I’ve already reset my password &amp; im still getting that error 🤦🏻‍♂️  i never had account issues with @116602,technical
169,@AmazonHelp @145403 ¿Y va a estar todo más caro que en día normal? Porque veo que así funcionan las ofertas para sus compradores mexicanos.,other
170,@LondonMidland do you give refunds when people have to get coaches instead of the scheduled transport they have pre-paid for.?,payment
171,"@AmazonHelp ordered next day delivery via your prime service on tues. When does it turn up? TODAY! Just as well I didn’t need it by yesterday...oh, wait....🤔",delivery
172,@115765 @115766 fix this broken ass game please I've restarted 10 times and still this shit comes up!😡 https://t.co/OpXejHpm4z,other
173,@VirginAtlantic Trying to use their App to check in but says I need an account? Won't accept my virgin details.,technical
174,"*positive* @122550 experience klaxon! webchat sorted my problem. Still doesn't sort my ""missing"" bonus points from @sainsburys tho. Baby steps eh.",technical
175,"@AppleSupport @564337 Lies! Apple has ignored me, and told me multiple different things! Still no resolution. All lies! #AppleSucks",technical
176,"@SouthwestAir my wife and I changed our names, and your website says tweet you for directions on how to update our accounts - help!",other
177,"Dear @115940, just once I would like to watch an episode without you freaking out and turning off.
Best regards,
             Kathleen",other
178,"@AdobeCare It had the same problem before I updated the drivers, so I don't think that's it..",technical
179,@SpotifyCares I've just got some Google Chromecast speakers. How do I remove my old Spotify Connect speaker? https://t.co/dUFySGOoGw,other
180,"@115850 will you give my money back.Or I start legal forgery case for loss.
No body respond for email now and exhausted with calls in your customer care. https://t.co/vOdzHP30ug",payment
181,@ATVIAssist I got demoted to lvl 1 twice how can I get my rank back,other
182,@Delta the plane is broke down. And we are not getting answers.,other
183,Wonder if @116245 let me off a penny 😒 https://t.co/ctJPepLIcs,other
184,@LondonMidland I was going to Sutton Coldfield ended up having to wait 25 minutes for the next connecting train.,other
185,I ordered a pizza TWO HOURS AGO and it’s still not here. Do better @116076,other
186,@AppleSupport HELP PLS IM POOR,technical
187,"@AmericanAir I hope so because if mine is cancelled, I miss being best man at my brothers wedding. I would hate for my previous appreciation for AA to push me elsewhere...",technical
188,@Morrisons how can i make a complaint to the crowborough store about a VERY ride till worker and manager,other
189,"@O2 same on safari, chrome and IE :(",other
190,@AmazonHelp Sent. Kindly resolve this on immediate basis.,other
191,"@SW_Help Hey team, season ticket holder here. Went to refund rest of ticket, couldn't, understand as less then a week left. But then I have no void days?! I've been on trains delayed for ages and due August work refund surely. What gives?",payment
192,@Delta I guess 20m was optimistic. 40m now.,other
193,@O2 Arrived 7.50am!!!! Now to o2 store to transfer iCloud x,other
194,@AmazonHelp Been told my delivery will be between 26th-30th October. When will I find out for sure?,delivery
195,"@AmazonHelp I used some tactics and got it out in the end, thanks for checking. I just need to bear in mind for future!",other
196,"Was rejected by @British_Airways. Seeking refund on Avios points debacle, but ever so politely and elegantly. -40K points, still love BA.",payment
197,@115858 Also my battery dies so fast now! #Apple,technical
198,@TMobileHelp You got it!,other
199,"@AskTigogh Good morning,Please have not heard from you..thanks",other
