text,label
If theres any servicewebsiteapp Ive used recently that need some serious UI help its I cant believe how few features and functions it has and how inaccessible they are for being as big of a company as they are,other_general_question
Why is your Group Sales number leaving people on hold for hours You are wasting my time,other_general_question
Bonjour à vous vous pouvez contacter notre Service clientèle par email ou par téléphone Vous êtes invité à vous,other_uncategorized
Thanks for reaching out The game that would come with the console would be a 5x5 code that you would redeem JS,other_chitchat
My apologies for any issues youre currently having Id be happy to help anyway we can Please DM your service p,other_uncategorized
And its so lame that 2 orders got cancelled Once the customer service said the delivery agent refused to deliver Seriously,delivery
iOS 1111 was recently released and it includes a fix for autocorrect issues Be sure to back up your device prior to updating and let us know if the issue persists afterwards How to back up,other_general_question
Thanks for reaching out to us Wed like to look into this with you When you have the time could you provide us with a link to the product in question TK,other_chitchat
Thanks for ruining my day 3 flight changes to finally make it to my destination which I could have easily driven to faster and now no bags Top notch You disgrace the American name,other_chitchat
Please DM us Sam were unable to find a shop in Small Heath,other_uncategorized
Hi Andrew I can take a look into promotions for you Would you please DM your full address NS,other_chitchat
2 Hopefully well have it available again soon More info here LO,other_uncategorized
Thank you hopefully theyll be up soon so you can catch up on this I promise youll love it,other_chitchat
Hi Jonathan The details given on the previous Tweet was general information Did you contact anyone before you went to the airport Liz,other_chitchat
Hey Had a wonderful time Every1 was amazing until we got to and met the staff of neverflyaa,other_uncategorized
Were sorry to hear this Can you please DM us with more information about your Line ride experience,other_chitchat
You would think Bank of America would just about everywhere,other_chitchat
We appreciate the update and are happy to hear that its being replaced and that well get to see you again soon Seth,other_uncategorized
Whats the reply eta and whats this link to the convo its requesting,other_chitchat
Hi Daniel yikes so sorry about this Can you DM me the store you bought from and your More card number amp address Sammi,other_chitchat
Cellular,other_uncategorized
I did just now,other_uncategorized
Im sorry for the trouble What device are you attempting to use in order to comment Are any specific errors given TG,technical
When can I expect the email Thanks,other_general_question
First time that an driver cancelled my trip So disappointed,other_uncategorized
Im sorry for the trouble with your recent order Please reach out to us by phone or chat here so we can review options with you AH,other_uncategorized
Im sorry for any frustration Do you have a current order thats passed the delivery date DD,delivery
your app is awful This is the 4th that I lost,delivery
For sometimes now Happening when browsing the webpages only No headphones or anything used,other_chitchat
I need to speak to someone in re printer issue not answered by your website Can you give a phone number plse none on your site,other_uncategorized
I know right Its pretty disrespectful to Pulisic to compare him to Messi,other_chitchat
Hi thx for reaching out re Twitter handle for Citi Philippines Sry 2 hear u have yet to be contacted amp We appreciate the opportunity 2 try 2 help At this time there is not Please click link at end wur acctcard type amp more details no acctcardPINs TY DV,other_chitchat
Can you please DM us the phone number attached to your account so we can take a look,account
I travel all around the United States and overseas and havent had any issues with reception Unless Im inside a building that blocks the signal,other_uncategorized
Thank you for reaching out to us We are here to help Please send us a Direct Message so that we can further assist you KJ,other_chitchat
Does that mean well be seeing you soon Hope so,other_uncategorized
Gosh Im sorry to hear this Andy Can you DM me the cafe you visited please along with a snap of your receipt and,other_chitchat
No problem Sorry to hear that Can you confirm your email address via DM please I will send you your new journey details Rach,other_uncategorized
Just made an announcement an incident on plane apparently Dont know if flight is cancelled or simply delayed,delivery
Thanks for reaching out to us Has anything changed since you first noticed this happening Does this happen when booting in Safe Mode,other_chitchat
Awesome i hope to see you on the field soldier JR,other_uncategorized
I have 5 bars and my instagram feed is loading slow as fuck Get it together,other_uncategorized
Sorry for the trouble Send us a note here and our team will be in touch,other_uncategorized
Hi David not sure what you mean here Any customer on O2 refresh can upgrade once their device plan is paid in full,other_chitchat
Thanks for suspecting that I literally heard that dumb reason as well so Im being forced to buy a new modem because why My modem can CLEARLY handle this speed what is the problem Is there some documentation on this on WHY this change was made Im baffled on this,other_chitchat
ok graciad Aunque de cualquier forma ya me quede sin jugar Doom por el fin de semana,other_uncategorized
Sent,other_uncategorized
Its like knew I was having a bad day and decided to make it worse by sending me a picture of my package delivered NOT to my door thanksamazon,delivery
Thank you for clarifying You can take a look at the most accurate delivery date provided here If not please reach out to us here so we can look into this further Hope this helps SC,delivery
Maybe you should add a I change my mind option to the list of return reasons,other_uncategorized
Fuck u,other_uncategorized
Hi there is this our Oak Smoked Salmon and King Prawn Sandwich Could you DM us some details please I just need your full name address and email I would like to log you feedback on this sandwich Lawrence,other_chitchat
Hi Saket that is a direct mail offer If you didnt get it in the mail we cannot provide a code Sorry for the confusion JK,other_chitchat
This did not work to fix the issues Still seeing I when I type i or p,other_chitchat
Disculpe mi ignorancia pero hay forma de que me mande un enlace en español,other_uncategorized
I do apologize for the troubles and inconvenience Please let us know if there is anything we can assist with RD,other_chitchat
what have I done to be cheated upon 2 days in a row n today is surely going 2 b anoda I need my unused megabytes of ystrday I need my data flowing after 245pm Give me what I pay for,other_general_question
found one of your customers credit cards last night Tried to find them on social media and could not Please advise,other_uncategorized
quite simply absolutely SENSATIONAL,other_uncategorized
We understand and regret any inconvenience Thanks for hanging with us We hope to get you going as soon as possible MK,other_uncategorized
Thanks,other_uncategorized
2 By the way can you let us know if youre getting any specific error messages YM,technical
Miles can be requested here or with our AAdvantage Customer Service team which is open from MonFri 8a7p CT,service
at SeaTac lotto machine ate money one of your flight crew Michael heading to St Louis on phone to get us help before I had a chance You guys always help out even before asking Thanks,other_chitchat
Your services suck ass I will continue to tweet at you until you get your heads out of your ass No I wont give you my acct number You know Your Service sucks,other_uncategorized
Ive had a tech no show a month ago a could get no help from you because its under my mother in laws account,account
I would really love to know why the travel gods continue to punish me Have I not suffered enough on delta flights this year,other_chitchat
Just did diwaali shopping only on And that too 1 earphone and a sunglass Products will be delivered on 12th October,other_uncategorized
How should she reach out to you is there a special number to call rather than the usual 800,other_general_question
Im very sorry for the delay Celine Can you DM me your confirmation code Sara,other_uncategorized
you support team is helpful The technical support team is busy and I got defective mobile Amazon is not bothered get refund request,payment
i sent a message yesterday requesting for my cousin exam results to and upto noe i have not reeceivedis it a scanrefund back my message fee,payment
Lets check on your Surface Pro 4 Have you tried if other browser behave the same way as it is in that one,other_uncategorized
Your agent just admitted to me that a previous agent made a false promise I dont wanna refund I want a replacement order,payment
They are but they are still subject to delays I am afraid,other_uncategorized
55 We are sorry that this is impacting your future travel plans 55 MS,other_chitchat
gtgt menghantar Enorang dengan melayari laman untuk meminata surat pengesahan gtgt,other_uncategorized
Were here to help Please DM us the software version youre using so we can better assist you,other_uncategorized
25 min on phone while inept rep cant solve my prob w upgrade order WTF,other_chitchat
Our team would like to research your concern Please DM the tracking number your address and telephone number TV,other_uncategorized
I received a voucher so I dont need anything more But I do think you should consider a policy change where passengers whose flights are,other_chitchat
this bug is still a problem with Siri on macos Calendar actually adds the correct date but displays one day ahead,technical
slowing down my service just because my bill is almost due wont make me pay it any sooner Im still going to wait until the last minute Thank you,other_spam_or_junk
Why are you not working on my Xbox one Loading error,technical
I need your assistance,other_uncategorized
can i return my link hes broken,other_general_question
Yeah it was pre ordered with expedited delivery and up until today its said itll arrive on the 14th up until today where it now says 15th,delivery
We love having this record with you We work hard to provide a great experience every time,other_chitchat
Had the booking crash twice when choosing Iceland as the CC billing address Both in a browser and the app avgeek PaxEx,technical
Lets look into this for you Send us a DM with more details about what you are experiencing,other_chitchat
Harrison dont forget to download the McRibFinderApp on iOS or Android its the map to delicious saucy goodness,other_uncategorized
biggest shit ever THIEVES,other_chitchat
