,text,label
21,@SouthwestAir Just curious as to why nearly every SW flight I take between FLL and BWI is delayed...,other
22,"@British_Airways I went to the wrong airport, what is your best customer service contact number for OpenSkies that’s open before 9am?",other
23,@225552 @196577 @115940 I want it to work but I'm not paying to restart a video every 5 min.,technical
24,@sainsburys so your substitutes for gluten free food is food that contains gluten ? worst home delivery service of any shop,delivery
25,@XboxSupport I got given a £50 redeemable code for my birthday and I accidentally ripped of some of the code what shall I do?,pricing
26,@DellCares just got a call that my XPS 9550 with swollen battery that's been in the depot for a week will be another 2 weeks minimum to repair.  I have two PCs with the same issue.  Doubtful I will buy again given these issues and lack of quality support.,service
27,"Chipotle is love, Chipotle is life. @ChipotleTweets #AppreciationTweet 🌮🌯",other
28,@496809 @134202 That @115714 network life though!,other
29,@584388 @comcastcares Bro that's what I'm saying I'm siiick,other
30,"We need to have a serious talk, @116068 @GoDaddyHelp. Love you guys, BUT...

I've spent A LOT of money w/YOU since 2001, and I do NOT want new #domains to default at a 5yr reg period. That's ridiculous.

Where can I change the default to 1yr? Thx!

@3814 @3815 @3816",service
31,@Tesco Is that a yes or no to direct question please?,other
32,"21 days asking infos without saying which infos!! Support escaleted issue w/out a reply in 1week. #Paypal is risky 4 merchants
@AskPayPal https://t.co/bq6qLGAfG6",service
33,@150659 @115817 AVISO! WARNING! Do NOT pay for priority shipping. @115817 will take your money&amp;not tell you they have no idea when ur package will be delivered,other
34,@115955 jk don't get spectrum they'll make you fail blackboard assignments and spend an hour buffering a video,other
35,"Still haven't heard back from @115821 about stealing my image. Oh, and they PHOTOSHOPPED their product into the image. 👍🏻 https://t.co/9rhswB62qT",legal
36,@comcastcares It has been resolved now. Thanks for the reply. Don’t know what was happening.,other
37,@AppleSupport a new Arabic font is very bad .. could you change it to the old font please,other
38,@MicrosoftHelps how do I buy https://t.co/xxyyBSGIAH in the uk?,other
39,Hey @Ask_WellsFargo you tell me my account is on hold due to fraud activity yet the prevention and risk line has been busy all day.,account + service
40,@AppleSupport why is my phone percentage going DOWN when it’s in an Apple certified charger? And it didn’t charge at all over night. About to go get a Samsung today.,other
41,@SW_Help great conductor working 2c25 very informative and well with regards with handling a delay and informing everybody travelling.,other
42,@AppleSupport I’ve tried but no ones replying! Thank you,service
43,"@AzureSupport Thanks, follow up question; if I need to switch from let's say D series to B is it possible in RI?",other
44,@690906 @AmazonHelp I will take up your case to the consumer forum. You can also contact us at :+91-8521228202.,other
45,"@SpotifyCares If my partner is using spotify on my iPad but I want to listen on the desktop app at work, it cuts him off and visa versa.",account
46,@116333 have bought IPhone X. Wonderful phone but experience shattered  by lousy service from Apple agent Nysa. Help !,service
47,@116072 Lied about lifetime price @116136...what you got to offer?,service
48,@AskPlayStation I want to download a game again but I’d have to be charged again,other
49,Hello Chicago!!! 🛬 Only bummer is @AmericanAir took my brand new hair spray! 😰maybe @83593  can send me a new one 🙏🏼 #badhairthistrip https://t.co/sES0tUpT2v,other
50,"@NikeSupport Si, ya funciona correctamente gracias",other
51,"Thank you for this honour, @722565, and congratulations to @sainsburys on winning the grand prize! https://t.co/tZeidSkQ6g",other
52,@AlaskaAir fly with you all a lot. Always love the service and it really stands out when I have to fly another airline that sucks!,other
53,@AppleSupport First time I attempted to re-add an event I believe it ignored the day I added it to and set it to the next day. The second attempt resulted in nothing being added.,technical
54,"@comcastcares Thanks- I just unplugged and plugged modem back in, again. I was able to open app after reconnected to schedule a call tomorrow. TY4 ur help",other
55,"@AmazonHelp I have and they told me to call the bank--I don't even know what bank this was with, I've had the seller account for 10 years and haven't used",account
56,@O2 Many thanks to @O2 it’s not Vegas but still a nice little surprise https://t.co/Gdzg9jIu3R,other
57,Hey @tesco any reason why your Finest* Chicken Kiev’s which were £5 for 2 are now only served in single packs and cost £3.70 each? Seems like a bit of a price increase &amp; a rip off!,pricing
58,@TfL why is my #applepay not working at the gates? It tells me to call the help line?! #confused #tfl,technical
59,@SpotifyCares everytime i try to listen to two artists in particular (knife party/deadmau5) it tells me the songs are not available,
60,@116827 account charged for atm withdrawal but no money received... frustrating,
61,@377498 @377496 @115858 negative sir. from my past experience updating to a new iOS is usually the reason the phone goes to shit.,
62,@AmericanAir I need your help. Stuck on flight1364 waiting on the tarmac in ORD cause of a maintenance issue on a plane at our gate. I need to make my connection to flight 1487.,
63,@AirAsiaSupport case number 00186136,
64,Anybody else’s #xboxOne powering by itself randomly? @115786 @XboxSupport,
65,"@comcastcares Is there something going on in Keizer, OR? Outage? Slowdown? Net service is slow on multiple devices &amp; having streaming issues",
66,@AmazonHelp amzl us,
67,.@115725 You have the poorest service I have ever seen. 4 DAYS to get dial tone fixed. Wonder what those that don't have cell do?,
68,@120533 gros probleme suite à un compte bloqué depuis 2 semaines !!! 7 coups de fils 3 emails un fax et rien !! Vive les plateformes à l'étrange ! En revanche vous savez prélever le prime alors que je n'ai rien demandé et pas la possibilité de refuser !!!! Merci !!!,
69,"@Delta Currently booked on DL1849, DL3796",
70,@LondonMidland No trains from Blake St since 8.02!! Cancelled due to no drivers!! just on train now. Uni at 9am. Missed lecture! #refund,
71,@comcastcares Outage in my area? Any idea when it will be back up? Sacramento,
72,"@115714 @427944 This is what I got, phone is in my cart, I am ready to pay!! UGH https://t.co/fua5iNjCtj",
73,@BofA_Help Sorry I wasn't in the room I am now,
74,@116062: will you create a “disaster registry” where fire victims can pick the items they need and anyone can fill them? Offer discounts?,
75,"@AppleSupport Freezing basically all of the time. Apps are messing up, if i turn on airplane mode and then turn it off i can’t get service without restart",
76,@VirginTrains I’ve lost my tkt back to Wilmslow. I’ve got receipt and it’s on my app but your staff tell me too bad. Surely not right??,
77,@AmazonHelp I ordered a package to be delivered tomorrow but I’ve had a notification saying it’ll be a day late now,
78,"@AmazonHelp prime membership says it’s suspended, updated payment method but still says it’s suspended? How do I fix it to get Prime back?",
79,I have yet to meet a @SouthwestAir employee who has not made my day better.,
80,Our Bubby’s first flight in @Delta out of our favorite airport @6013. California Dreamin’ #notstaged https://t.co/W7mmwHn5o1,
81,"@British_Airways my husband and I are flying to Texas for a friend’s wedding in December; it’s my husbands first trip to America! We’re going traveller plus, how much is the upgrade into business? Thank you",
82,@Delta I truly appreciate you for taking a perfectly brand new piece of luggage and roughing it up to the best of your ability. Terrible! https://t.co/2H95WJ40Lr,
83,Love it when @115877 takes well over an hour when it says 20-25 mins 🙃,
84,@AmazonHelp And there is was no reschedule from my side. You guys did yourself,
85,@SouthwestAir over half of your ticketing kiosks are out of service at @138523. 6/16 work.,
86,"@AmazonHelp Hello I ordered yesterday and I paid for it but I need to change the billing address, how can I do it?",
87,"@116230 I recently used my custom built PC to host, run and edit a Smash Bros 4 tourney called Smash Trinity recently https://t.co/KZofHeprxS",
88,@SW_Help @115793 Nice of you to pin blame on someone else. I think you’ll find passengers don’t care who’s fault you think it is and would rather you worked together to fix it.,
89,@AmazonHelp anything else?!?! This communication feels familiar,
90,@AmazonHelp Aproveitei tanto que agr to pobre 😂🙈,
91,@O2 So how do i trade in? What can you do to help? What can I do?,
92,"@Safaricom_Care Thank you very much,  you've been most helpful",
93,@ArgosHelpers Love2Shop say any of their retailers should refund back to the love2card and by not doing this breaches the retailers agreement,
94,@idea_cares want to port my number from @118343  to idea immediately please help @118343 store is the worst,
95,Mason’s @ChipotleTweets pumpkin https://t.co/3rzIazXPvF,
96,"@570635 @XboxSupport @570633 @3495 @125838 @141157 Issue has been corrected, NHL 17 is playable again within the vault! 👍",
97,"@AppleSupport And yes, I’ve restarted my phone, my WiFi, my home internet, the apps, my life, your life...",
98,@UPSHelp @115817 Why was my package “out for delivery” yesterday and then rescheduled for Monday ? I scheduled it on a Saturday for a reason!,
99,@615414 @McDonalds @590398 They won't. They are not even giving Rick and Morty the credit they deserve for trying to bring it back,
100,@AppleSupport Yes,
101,@UPSHelp what time do deliveries occur until on Saturdays?,
102,@AmazonHelp @410950 What is ur business in this story.If ur friend have any concerns let he/she handles it unless you are authorised to do it.Amazon is the best,
103,@738887 @VirginTrains I've still got the picture I think.,
104,uber account has been hacked...what to do? @Uber_Support,
105,@AmericanAir Really? Tell me why I qualified when I left EWR? &amp; why a colleague on the exact same Status as me qualified leaving COS on the same flight,
106,Gets Amazon Prime and orders an item that qualifies for next day delivery. Get a despatched note saying it will be here Monday. Well that's no good is it @AmazonHelp !!!,
107,@129941 Please explain https://t.co/slhcxVjhQD,
108,@MicrosoftHelps -really dumb. They should have a feature where you can make widows turn off all reminders if you are using certain apps.,
109,Le envié un dm a la cuenta de @AmericanAir y estoy impresionada por la velocidad y calidad de la respuesta. Ojalá todos los CM fueran así.,
110,@AmazonHelp Thanx.Actualmente calculo que el 60-70 las hago con vuestro servicio. Y satisfecho el 99% tan  por precio como por celeridad y servicio post,
111,@VirginTrains I have and will be 50 minutes late which is too late for a crucial meeting. Day ruined. Thanks for your apology,
112,"@AskLyft Great excuse ""The feedback alleged you made inappropriate or derogatory comments towards your driver."" I did not. Oh, and fuck you.",
113,@AzureSupport I wil check with my application vendor on how to proceed.,
114,@AppleSupport Im currently using 11.1.2,
115,When @Tesco give your click + collect to someone else 👏🏻 the main present your 6 year old daughter wanted from Santa,
116,"@121513 @SW_Help Done already! Well I hope somebody finds it, shame there are so many possible areas it could have fallen out 😖",
117,Yo @115858 what’s supp with these square boxed question marks it’s annoying,
118,@CoxHelp Cable card and tuning adapter for my TIVO has been dead since Last Thursday here in Norman OK. Any info about what is going on?,
119,@GWRHelp @152880 From where? Hardly anyone got off it at TWY?,
120,"@115817 @UPSHelp Loving how you moved my delivery date, canceled my two-hour delivery window YET still kept my money...",
121,@115888 can you stop randomly unsaving songs that ive saved. My wifi gbs are crying. As am I. Tanks.,
122,@AmazonHelp I need a compensation for sure.....its purely your fault,
123,@British_Airways logged into manage my booking and getting  message saying no flights in the booking. Due to fly on Monday what's going on?,
124,@AmazonHelp The delivery date given was December 4 - December 7! Is that why it hasn't been shipped out yet? ):,
125,@XboxSupport I can sign In but won't let me join parties.,
126,@MicrosoftHelps THIS SETTING NEVER WORKS. NEVER. https://t.co/oKAj8aV5GP,
127,Looking for an interesting read? This man is unstoppable #ScottHaze #Mully @AmericanAir https://t.co/Tve2owmVSJ,
128,@786388 @AirAsiaSupport Better take refund,
129,@Uber_Support No one has resolved it till now? I need answer is Etios Liva a Sedan and what action you have taken against driver for talking on phone?,
130,@AmazonHelp Just realised that the Knorr beef stock cubes that I ordered are also missing. Could you help me with this so I don’t have to hold for 15 min again? Also I would like to cancel this subscription ASAP. How can I do that?,
131,Asked my @115879 driver nicely to switch from right wing talk radio to music. He declined. This is a fun ride.,
132,@AmazonHelp Unaddressed issues r remaining unresolved since months and you are just escalating and requesting me to wait further. No refund since months,
133,"Hey @115825, könnt ihr bei Gelegenheit mal die deutsche Tonspur der King of Queens S04E24 austauschen? Da ist die Tonspur der vorherigen Folge drin. Die englische Tonspur funktioniert einwandfrei.",
134,"@TMobileHelp I apologize for my behavior, let’s work this out like civilized people.",
135,@VirginTrains what's the sitch with delay repay if I have an anytime return ticket and the train I was planning on getting was cancelled?,
136,"@AmericanAir It felt I was so restricted and I am just a medium size human being, especially for a 6 hour flight, something needs to be done, it felt unacceptable, please do something",
137,"@Delta in the air on delayed 2057, will prob miss connection in ATL to GSP. Can u help please ?
Ric Rosenbaum
#2128647449",
138,"@115879 nah nigga. Gimme my $10 “no-show” fee right back, my app froze and didn’t tell me the driver was here. We gon do this right here",
139,@TMobileHelp Another bot.,
140,@AmericanAir So is there no way I can check in online now for my flight?,
141,@VerizonSupport But this is only happening to people who have Verizon and if this keeps up people will take actions like switching ISP.,
142,@Delta @207516 @207516 has 3 Emmy’s.  He’s very important.  Perhaps this little hiccup can be resolved with a Pope Bottle Opener.  #FlyLinoHome,
143,@115714 They offered less than 25% of that BS restocking fee back. I'm insulted.,
144,@115850 My order id is 404-1796907-6903540 is please look into this matter asap and please try to contact us very soon I want this product,
145,Yo @116136 @115900 what'd ya'll do wit my upload ??? https://t.co/9Akoq42SJU,
146,@401338 @ATVIAssist  https://t.co/oUcq6ZKhx7,
147,知らない間にAmazonプライムの会員になっちゃってたわ。記憶ねーから怖い,
148,@SouthwestAir how long does it take for points from a partner company to transfer to southwest rapid rewards?,
149,@AppleSupport Any tips to speed up the update? Traveling 🚫 have 4 hrs. Requiring WiFi when some LTE speeds are faster still makes me 🤷🏻‍♀️ https://t.co/9nDbFKPyzn,
150,@AmazonHelp for same pin code it shouldn't change in matter of mins.before placing order it showed 3-4 days n post payment a week! @115850 #ecommerce,
151,@SW_Help Why no new trains on Weymouth to Waterloo? At least refurbish some pls.  Don't refer me to the website...Answer me,
152,@TMobileHelp Dang so no free Netflix 😂,
153,@LondonMidland Thank you 😊,
154,"Few things make me happier than calling customer service and getting someone who's helpful, knowledgeable and friendly.",
155,"Dear @GloCare @117627  you need to make me your ambassador, I talked to two persons about how good your network is and they bought glo.",
156,"@Uber_Support 
I have added a payment method and still i can't requrst any ride as below snapshot, please your support https://t.co/K7y04cK4Tz",
157,@XboxSupport @161810 It’s ok Xbox Best Buy helped me,
158,@SpotifyCares Pixel XL https://t.co/5X09IqH8z7,
159,Starting to wonder why I’m paying £80 a year for @115830 next day delivery when my items never seem to come next day 😡,
160,"@115858 @AppleSupport  Is this green pixel supposed to be on my brand new iPhone X? Also, why can’t I just get a simple replacement phone at your stores? Why do I have to pay another grand to get a replacement or pay for “repair”?! https://t.co/QVEzzAx8eC",
161,mcnuggets yayy,
162,@TacoBellTeam So....?,
163,@AmazonHelp Ansiosa! 👏🏻👏🏻😆,
164,@O2 Terrible! Just glad I didn't spend any money as it seems neither of you are taking any responsibility!,
165,@UPSHelp France,
166,"@British_Airways This does not address my question: why don't you allow guitars though they fit in overhead compartments? In addition, your rules for violins &amp; violas are self-contradictory (you say you will ""make an effort"",but then claim instr. &gt;56cm will be checked in"") https://t.co/NSAJI3UHXl",
167,"@115850 this is probably the first, but I've received a product which belongs to someone else! And I suppose my order is sent elsewhere!!",
168,@hulu_support I’ve already reset my password &amp; im still getting that error 🤦🏻‍♂️  i never had account issues with @116602,
169,@AmazonHelp @145403 ¿Y va a estar todo más caro que en día normal? Porque veo que así funcionan las ofertas para sus compradores mexicanos.,
170,@LondonMidland do you give refunds when people have to get coaches instead of the scheduled transport they have pre-paid for.?,
171,"@AmazonHelp ordered next day delivery via your prime service on tues. When does it turn up? TODAY! Just as well I didn’t need it by yesterday...oh, wait....🤔",
172,@115765 @115766 fix this broken ass game please I've restarted 10 times and still this shit comes up!😡 https://t.co/OpXejHpm4z,
173,@VirginAtlantic Trying to use their App to check in but says I need an account? Won't accept my virgin details.,
174,"*positive* @122550 experience klaxon! webchat sorted my problem. Still doesn't sort my ""missing"" bonus points from @sainsburys tho. Baby steps eh.",
175,"@AppleSupport @564337 Lies! Apple has ignored me, and told me multiple different things! Still no resolution. All lies! #AppleSucks",
176,"@SouthwestAir my wife and I changed our names, and your website says tweet you for directions on how to update our accounts - help!",
177,"Dear @115940, just once I would like to watch an episode without you freaking out and turning off.
Best regards,
             Kathleen",
178,"@AdobeCare It had the same problem before I updated the drivers, so I don't think that's it..",
179,@SpotifyCares I've just got some Google Chromecast speakers. How do I remove my old Spotify Connect speaker? https://t.co/dUFySGOoGw,
180,"@115850 will you give my money back.Or I start legal forgery case for loss.
No body respond for email now and exhausted with calls in your customer care. https://t.co/vOdzHP30ug",
181,@ATVIAssist I got demoted to lvl 1 twice how can I get my rank back,
182,@Delta the plane is broke down. And we are not getting answers.,
183,Wonder if @116245 let me off a penny 😒 https://t.co/ctJPepLIcs,
184,@LondonMidland I was going to Sutton Coldfield ended up having to wait 25 minutes for the next connecting train.,
185,I ordered a pizza TWO HOURS AGO and it’s still not here. Do better @116076,
186,@AppleSupport HELP PLS IM POOR,
187,"@AmericanAir I hope so because if mine is cancelled, I miss being best man at my brothers wedding. I would hate for my previous appreciation for AA to push me elsewhere...",
188,@Morrisons how can i make a complaint to the crowborough store about a VERY ride till worker and manager,
189,"@O2 same on safari, chrome and IE :(",
190,@AmazonHelp Sent. Kindly resolve this on immediate basis.,
191,"@SW_Help Hey team, season ticket holder here. Went to refund rest of ticket, couldn't, understand as less then a week left. But then I have no void days?! I've been on trains delayed for ages and due August work refund surely. What gives?",
192,@Delta I guess 20m was optimistic. 40m now.,
193,@O2 Arrived 7.50am!!!! Now to o2 store to transfer iCloud x,
194,@AmazonHelp Been told my delivery will be between 26th-30th October. When will I find out for sure?,
195,"@AmazonHelp I used some tactics and got it out in the end, thanks for checking. I just need to bear in mind for future!",
196,"Was rejected by @British_Airways. Seeking refund on Avios points debacle, but ever so politely and elegantly. -40K points, still love BA.",
197,@115858 Also my battery dies so fast now! #Apple,
198,@TMobileHelp You got it!,
199,"@AskTigogh Good morning,Please have not heard from you..thanks",
